maxid,minid,maxig,minig,maxconsumption,minconsumption,maxmulti1,minmulti1,PDEError,FCError
0.0,0.0,0.12244714915173582,0.10034509446067025,0.107058237476259,0.05035750171699219,4.573702193251455,1.0067812579381292,0.0009869800342629312,1.613102451614168e-07
0.0,0.0,0.12244714915173054,0.10034509446066954,0.10705823747625891,0.05035750171699025,4.573702193242346,1.0067812579380786,0.000986979873371721,1.611491118325148e-07
0.0,0.0,0.12244714915172526,0.10034509446066882,0.10705823747625881,0.05035750171698833,4.573702193233025,1.0067812579380289,0.000986979712637684,1.6098815613929673e-07
0.0,0.0,0.12244714915171999,0.10034509446066812,0.10705823747625873,0.05035750171698641,4.573702193223619,1.0067812579379987,0.0009869795520666552,1.6082732479105744e-07
0.0,0.0,0.12244714915171473,0.10034509446066736,0.10705823747625863,0.050357501716984464,4.573702193214281,1.0067812579379196,0.0009869793916547562,1.6066667107850208e-07
0.0,0.0,0.12244714915170947,0.10034509446066657,0.10705823747625853,0.05035750171698265,4.573702193204916,1.0067812579378574,0.0009869792314048803,1.6050616835627807e-07
0.0,0.0,0.12244714915170421,0.10034509446066575,0.10705823747625845,0.05035750171698083,4.573702193195398,1.00678125793779,0.0009869790713141965,1.603458255061696e-07
0.0,0.0,0.12244714915169894,0.10034509446066492,0.10705823747625835,0.05035750171697904,4.573702193185813,1.0067812579377322,0.0009869789113840996,1.6018564252817669e-07
0.0,0.0,0.12244714915169368,0.10034509446066409,0.10705823747625826,0.0503575017169772,4.573702193176489,1.0067812579376727,0.0009869787516129241,1.600256371858677e-07
0.0,0.0,0.12244714915168843,0.10034509446066324,0.10705823747625817,0.05035750171697536,4.573702193167165,1.006781257937622,0.0009869785920011004,1.5986578283389008e-07
0.0,0.0,0.12244714915168317,0.10034509446066239,0.10705823747625808,0.05035750171697347,4.5737021931576205,1.0067812579375732,0.0009869784325487393,1.597060794722438e-07
0.0,0.0,0.12244714915167791,0.10034509446066156,0.10705823747625798,0.05035750171697162,4.5737021931481525,1.0067812579375226,0.0009869782732568888,1.5954653598271307e-07
0.0,0.0,0.12244714915167265,0.10034509446066078,0.1070582374762579,0.05035750171696974,4.573702193138734,1.0067812579375075,0.0009869781141248132,1.5938714348351368e-07
0.0,0.0,0.1224471491516674,0.10034509446066009,0.1070582374762578,0.05035750171696782,4.573702193129613,1.0067812579375084,0.0009869779551489252,1.5922791973821404e-07
0.0,0.0,0.12244714915166216,0.10034509446065941,0.1070582374762577,0.050357501716966,4.573702193120235,1.0067812579374746,0.0009869777963328191,1.5906884698324575e-07
0.0,0.0,0.12244714915165694,0.10034509446065872,0.10705823747625762,0.05035750171696416,4.573702193111114,1.006781257937432,0.0009869776376766892,1.589099607457456e-07
0.0,0.0,0.12244714915165174,0.10034509446065805,0.10705823747625752,0.05035750171696238,4.573702193101983,1.0067812579374134,0.0009869774791781208,1.5875118997144e-07
0.0,0.0,0.12244714915164655,0.10034509446065738,0.10705823747625742,0.05035750171696057,4.573702193092867,1.0067812579373654,0.0009869773208383906,1.5859264124173933e-07
0.0,0.0,0.12244714915164134,0.1003450944606567,0.10705823747625734,0.05035750171695887,4.573702193083481,1.0067812579373165,0.0009869771626574778,1.5843420797523322e-07
0.0,0.0,0.12244714915163615,0.10034509446065601,0.10705823747625724,0.050357501716957194,4.573702193074162,1.0067812579372686,0.0009869770046348827,1.5827591681727426e-07
