epoch,maxid,minid,maxig,minig,iterationtime,PDEError,FCError,PetscTotal,PetscNormRes
96,167.3843310311922,0.0,0.13723091221929581,0.10057976411602328,0.05808091163635254,1.339641865442171e+36,1.6658183085172732e+36,0.03619027137756348,"(4384331032889340.0, 2)"
97,164.1198623752872,0.0,0.1371732887758628,0.10070242455596452,0.05738520622253418,1.9862167397532217e+36,2.4574914113334574e+36,0.035343170166015625,"(6245553869944993.0, 2)"
98,160.87171663533198,0.0,0.1371544194057222,0.10082426739196171,0.05836772918701172,2.930211072157149e+36,3.607637093311019e+36,0.03522658348083496,"(8829660092784889.0, 2)"
99,157.63981076506184,0.0,0.13719245096967134,0.10094537252404999,0.06570553779602051,4.30167607984503e+36,5.270498497089581e+36,0.040071964263916016,"(1.2383123380537616e+16, 2)"
100,154.42406442414304,0.0,0.1371974825880175,0.10106579087872551,0.055922746658325195,6.28455591837338e+36,7.663188375553103e+36,0.03438115119934082,"(1.7218198615242448e+16, 2)"
101,151.22439710126397,0.0,0.1371860269391976,0.10118555549487714,0.05565595626831055,9.137776235260774e+36,1.1089873935275424e+37,0.03327059745788574,"(2.371984236750156e+16, 2)"
102,148.04072840134373,0.0,0.1371647329529915,0.10130468829579002,0.0614323616027832,1.322409072756961e+37,1.5974702408416444e+37,0.03751707077026367,"(3.2345719164115804e+16, 2)"
103,144.87297775857866,0.0,0.13713694072012583,0.10142320425549035,0.0655522346496582,1.9049354259339124e+37,2.290641863436968e+37,0.040587663650512695,"(4.3612512594576136e+16, 2)"
104,141.72106615539047,0.0,0.13710456606367635,0.101541113978137,0.06216740608215332,2.7315743437615686e+37,3.269855022280495e+37,0.03540992736816406,"(5.805796570476963e+16, 2)"
105,138.5849141101903,0.0,0.13706881021284475,0.101658425304065,0.058539628982543945,3.8993548379299163e+37,4.647022610827977e+37,0.03620553016662598,"(7.616324512585002e+16, 2)"
106,135.46444282524408,0.0,0.1370304762284732,0.1017751443151123,0.055776119232177734,5.541757960735087e+37,6.575421986763822e+37,0.03388166427612305,"(9.821545834668046e+16, 2)"
107,132.35957418303906,0.0,0.13699012763914942,0.10189127596710419,0.0629568099975586,7.841605440000067e+37,9.264075551251068e+37,0.0386807918548584,"(1.2409021204266477e+17, 2)"
108,129.27022988404508,0.0,0.13694817517237648,0.10200682448970705,0.06304526329040527,1.1048214948874005e+38,1.2996808533706237e+38,0.03582406044006348,"(1.5295564017032432e+17, 2)"
109,126.19633202022027,0.0,0.13690492745471874,0.1021217936404084,0.05632328987121582,1.5500135679999611e+38,1.8157397455216453e+38,0.033895015716552734,"(1.8300042528959392e+17, 2)"
110,123.1378030730257,0.0,0.13686062227293078,0.1022361868665865,0.058028221130371094,2.1655150847735486e+38,2.5262616092820634e+38,0.03605008125305176,"(2.1167810195375382e+17, 2)"
111,120.09456762958177,0.0,0.16516814753616124,0.10235000740940073,0.05460524559020996,3.012970318237239e+38,3.500547867732704e+38,0.03388643264770508,"(2.3837877976567968e+17, 2)"
112,117.06654807703858,0.0,0.16503188359568455,0.10246325837068784,0.05924105644226074,4.175048776592024e+38,4.8311595037768896e+38,0.03479504585266113,"(2.7554855462427197e+17, 2)"
113,114.05366833589503,0.0,0.16486402838822395,0.10257594275623134,0.056455373764038086,5.7621690565663606e+38,6.641231637871111e+38,0.03512883186340332,"(3.740793027767746e+17, 2)"
114,111.05585356613676,0.0,0.16468624396840456,0.10268806350387522,0.05642223358154297,7.921226289736928e+38,9.093929538977254e+38,0.03451395034790039,"(6.280231978643009e+17, 2)"
115,108.07302787022729,0.0,0.16450396218336286,0.10279962350187488,0.0553586483001709,1.0846875006465076e+39,1.240462484042685e+39,0.035004377365112305,"(1.1434107632090728e+18, 2)"
116,105.1051157301178,0.0,0.16431935938937842,0.10291062560093281,0.05693459510803223,1.4796058191335646e+39,1.6856513510411894e+39,0.035367488861083984,"(2.0577906053960384e+18, 2)"
117,102.15204372338843,0.0,0.16413352440080065,0.10302107262213196,0.05657315254211426,2.0106643746619486e+39,2.2820571532671096e+39,0.034415483474731445,"(3.582676032011355e+18, 2)"
118,99.21373707669271,0.0,0.163947079027465,0.10313096736219382,0.05688786506652832,2.7221237788872985e+39,3.0780956418876624e+39,0.034140825271606445,"(6.04087670339899e+18, 2)"
119,96.29012139054159,0.0,0.16376041114574275,0.10324031259698443,0.05678915977478027,3.6717497503366795e+39,4.136721972659028e+39,0.033583641052246094,"(9.914618456791054e+18, 2)"
120,93.38112378283053,0.0,0.1635737784393797,0.1033491110838689,0.05766105651855469,4.934657318476427e+39,5.539500593732005e+39,0.03432345390319824,"(1.5914383705945129e+19, 2)"
121,90.4866717358469,0.0,0.16338736034390405,0.10345736556330548,0.05675649642944336,6.60816794469268e+39,7.391728584429206e+39,0.034304141998291016,"(2.5076439916995727e+19, 2)"
122,87.60669194907958,0.0,0.16320128641935813,0.10356507875993616,0.05806088447570801,8.817924072399332e+39,9.8288618874528e+39,0.033333778381347656,"(3.889945088309755e+19, 2)"
123,84.7411120612554,0.0,0.16301565292370096,0.10367225338334213,0.053597450256347656,1.1725558909225616e+40,1.302454709095152e+40,0.034861087799072266,"(5.953429148260217e+19, 2)"
124,81.88985921384634,0.0,0.16283053302561218,0.10377889212857556,0.05506253242492676,1.5538282791806005e+40,1.7200624622071409e+40,0.034340620040893555,"(9.004602223295517e+19, 2)"
125,79.05286348968902,0.0,0.1626459833786631,0.10388499767654145,0.06301641464233398,2.0520822966984607e+40,2.2639543995501154e+40,0.038407325744628906,"(1.3477324570216635e+20, 2)"
126,76.23005217148221,0.0,0.1624620485099279,0.10399057269427843,0.06253910064697266,2.701024293731762e+40,2.9699719899581023e+40,0.0381622314453125,"(1.9981817392536345e+20, 2)"
127,73.42135490985714,0.0,0.16227876384114487,0.09802628243585937,0.05959796905517578,3.5434272792005413e+40,3.8834461388124847e+40,0.036406755447387695,"(2.9371119422334802e+20, 2)"
128,70.6267011345495,0.0,0.162096157824106,0.09822935331329966,0.05827736854553223,4.633390555516834e+40,5.061522748948908e+40,0.03533029556274414,"(4.2830714226908876e+20, 2)"
129,67.84602120078867,0.0,0.16191425348490165,0.09839725394043337,0.05953502655029297,6.039115917571669e+40,6.576010359071332e+40,0.03635072708129883,"(6.19987640785936e+20, 2)"
130,65.07924466669664,0.0,0.16173306956326663,0.09855295324960081,0.06594681739807129,7.846307228092693e+40,8.516855669289518e+40,0.04288482666015625,"(8.912656545542579e+20, 2)"
131,62.326302015275054,0.0,0.16155262136819634,0.09870219749558505,0.05685281753540039,1.0162319743550302e+41,1.0996371700569134e+41,0.03463315963745117,"(1.2729159938737816e+21, 2)"
132,59.58712350444033,0.0,0.1613729214306839,0.09884729097476007,0.05606412887573242,1.3121208190780892e+41,1.4154365155298524e+41,0.03503251075744629,"(1.806790236668392e+21, 2)"
133,56.86164117251353,0.0,0.1611939800087527,0.09898938987492642,0.06322073936462402,1.6889848667239911e+41,1.8164334595728096e+41,0.0408632755279541,"(2.5495181129876096e+21, 2)"
134,54.14978567955749,0.0,0.16101580548320074,0.09912915777679723,0.05500483512878418,2.1675339371198627e+41,2.3240939707478912e+41,0.03419232368469238,"(3.577351856388888e+21, 2)"
135,51.4514903230716,0.0,0.16083840467129215,0.09926701162277067,0.05901837348937988,2.773391940717604e+41,2.964897456363898e+41,0.03419137001037598,"(4.992477810102701e+21, 2)"
136,48.76668587068858,0.0,0.16066178307802292,0.09940323112911273,0.057537078857421875,3.538168393169175e+41,3.771411487234177e+41,0.035858154296875,"(6.931203706314566e+21, 2)"
137,46.09530544057679,0.0,0.16048594509931602,0.09953801354511088,0.0648343563079834,4.500741820932253e+41,4.783575112081286e+41,0.03918623924255371,"(9.574534069818082e+21, 2)"
138,43.437282485285806,0.0,0.16031089418778863,0.09967150355298093,0.07341623306274414,5.708792327040453e+41,6.050226678556727e+41,0.04619908332824707,"(1.3161774457427356e+22, 2)"
